"SNUPN_000"	"KPNB1_000"	"SNUPN_002"	"KPNB1_002"	"SNUPN_008"	"KPNB1_008"	"SNUPN_024"	"KPNB1_024"	"SNUPN_072"	"KPNB1_072"	"SNUPN_168"	"KPNB1_168"	"SNUPN_240"	"KPNB1_240"	"SNUPN_336"	"KPNB1_336"
"SNUPN_000"	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0
"KPNB1_000"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"SNUPN_002"	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0
"KPNB1_002"	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0
"SNUPN_008"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
"KPNB1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SNUPN_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SNUPN_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SNUPN_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SNUPN_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SNUPN_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
