"KPNA3_000"	"KPNB1_000"	"KPNA3_002"	"KPNB1_002"	"KPNA3_008"	"KPNB1_008"	"KPNA3_024"	"KPNB1_024"	"KPNA3_072"	"KPNB1_072"	"KPNA3_168"	"KPNB1_168"	"KPNA3_240"	"KPNB1_240"	"KPNA3_336"	"KPNB1_336"
"KPNA3_000"	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
"KPNB1_000"	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
"KPNA3_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KPNB1_002"	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0
"KPNA3_008"	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
"KPNB1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA3_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA3_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"KPNA3_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA3_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNA3_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KPNB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
