"FOXO3_000"	"MYC_000"	"FOXO3_002"	"MYC_002"	"FOXO3_008"	"MYC_008"	"FOXO3_024"	"MYC_024"	"FOXO3_072"	"MYC_072"	"FOXO3_168"	"MYC_168"	"FOXO3_240"	"MYC_240"	"FOXO3_336"	"MYC_336"
"FOXO3_000"	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0
"MYC_000"	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
"FOXO3_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYC_002"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"FOXO3_008"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"MYC_008"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"FOXO3_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYC_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FOXO3_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYC_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FOXO3_168"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
"MYC_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FOXO3_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYC_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"FOXO3_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYC_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
