"FOXO3_000"	"YWHAZ_000"	"FOXO3_002"	"YWHAZ_002"	"FOXO3_008"	"YWHAZ_008"	"FOXO3_024"	"YWHAZ_024"	"FOXO3_072"	"YWHAZ_072"	"FOXO3_168"	"YWHAZ_168"	"FOXO3_240"	"YWHAZ_240"	"FOXO3_336"	"YWHAZ_336"
"FOXO3_000"	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0
"YWHAZ_000"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"FOXO3_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"YWHAZ_002"	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
"FOXO3_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"YWHAZ_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FOXO3_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"YWHAZ_024"	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
"FOXO3_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"YWHAZ_072"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
"FOXO3_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"YWHAZ_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FOXO3_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"YWHAZ_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FOXO3_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"YWHAZ_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
