"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"ARID1A"	"1.84"	"0"	"3.88"	"0"	"1.42"	"0"	"0.06"	"0.16"
"ACTL6A"	"4.14666666666667"	"0"	"0"	"0"	"0"	"1.31333333333333"	"0"	"0.533333333333333"
"SMARCA4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"PS1TP5BP1"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"ACTB"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"SMARCB1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"BCL7A"	"0.35"	"0"	"6.64"	"4.05"	"1.61666666666667"	"2.18333333333333"	"0.133333333333333"	"0.0766666666666667"
"PHF10"	"2.96666666666667"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"BCL7C"	"84.1533333333333"	"45.5066666666667"	"20.6066666666667"	"17.5"	"12.9666666666667"	"19.06"	"38.4133333333333"	"14.9333333333333"
"DPF2"	"0"	"0"	"0"	"0"	"45.2333333333333"	"0.05"	"0"	"0"
"SMARCC1"	"1.26"	"0.0466666666666667"	"0"	"0"	"0.04"	"0.00666666666666667"	"0.746666666666667"	"0.0133333333333333"
"SMARCE1"	"48.1333333333333"	"0.8"	"42.1333333333333"	"107.266666666667"	"5.66666666666667"	"0"	"24.7333333333333"	"0.133333333333333"
"SMARCD1"	"4.25"	"0"	"0.05"	"0"	"0"	"0"	"6.26666666666667"	"0"
"BCL7B"	"40.2133333333333"	"74.5333333333333"	"85.0533333333333"	"6.72"	"0"	"0"	"0"	"2.74666666666667"
"CPX-1195"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
