"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"ARID1A"	"1.84"	"0"	"3.88"	"0"	"1.42"	"0"	"0.06"	"0.16"
"ACTL6B"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"SMARCA2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"PS1TP5BP1"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"ACTB"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"SMARCB1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"SMARCC2"	"14.36"	"11.6933333333333"	"0"	"38.9066666666667"	"19.2933333333333"	"15.8266666666667"	"13.04"	"12.9866666666667"
"SMARCD2"	"0"	"3.52"	"0"	"0"	"27.58"	"0"	"0"	"0"
"SMARCE1"	"48.1333333333333"	"0.8"	"42.1333333333333"	"107.266666666667"	"5.66666666666667"	"0"	"24.7333333333333"	"0.133333333333333"
"CPX-1203"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
