"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"ARID1A"	"1.84"	"0"	"3.88"	"0"	"1.42"	"0"	"0.06"	"0.16"
"ACTL6A"	"4.14666666666667"	"0"	"0"	"0"	"0"	"1.31333333333333"	"0"	"0.533333333333333"
"SMARCA4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"ACTB"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"PS1TP5BP1"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"SMARCB1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"SMARCD3"	"167.88"	"207.293333333333"	"202.813333333333"	"74.3466666666667"	"87.2266666666667"	"121.253333333333"	"77.9733333333333"	"67"
"SMARCC2"	"14.36"	"11.6933333333333"	"0"	"38.9066666666667"	"19.2933333333333"	"15.8266666666667"	"13.04"	"12.9866666666667"
"DPF3"	"7.38"	"0"	"10.1866666666667"	"0"	"0"	"0"	"0"	"0"
"SMARCC1"	"1.26"	"0.0466666666666667"	"0"	"0"	"0.04"	"0.00666666666666667"	"0.746666666666667"	"0.0133333333333333"
"SMARCD2"	"0"	"3.52"	"0"	"0"	"27.58"	"0"	"0"	"0"
"SMARCE1"	"48.1333333333333"	"0.8"	"42.1333333333333"	"107.266666666667"	"5.66666666666667"	"0"	"24.7333333333333"	"0.133333333333333"
"SMARCD1"	"4.25"	"0"	"0.05"	"0"	"0"	"0"	"6.26666666666667"	"0"
"CPX-1222"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
