"ANXA2_000"	"PCSK9_000"	"ANXA2_002"	"PCSK9_002"	"ANXA2_008"	"PCSK9_008"	"ANXA2_024"	"PCSK9_024"	"ANXA2_072"	"PCSK9_072"	"ANXA2_168"	"PCSK9_168"	"ANXA2_240"	"PCSK9_240"	"ANXA2_336"	"PCSK9_336"
"ANXA2_000"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
"PCSK9_000"	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0
"ANXA2_002"	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0
"PCSK9_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANXA2_008"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"PCSK9_008"	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
"ANXA2_024"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"PCSK9_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANXA2_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCSK9_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANXA2_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCSK9_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANXA2_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCSK9_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANXA2_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCSK9_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
