"COL4A1_000"	"COL4A2_000"	"COL4A1_002"	"COL4A2_002"	"COL4A1_008"	"COL4A2_008"	"COL4A1_024"	"COL4A2_024"	"COL4A1_072"	"COL4A2_072"	"COL4A1_168"	"COL4A2_168"	"COL4A1_240"	"COL4A2_240"	"COL4A1_336"	"COL4A2_336"
"COL4A1_000"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
"COL4A2_000"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A1_002"	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0
"COL4A2_002"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A1_008"	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1
"COL4A2_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A2_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A2_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A2_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A2_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"COL4A2_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
