"ITGAV_000"	"ITGB5_000"	"ITGAV_002"	"ITGB5_002"	"ITGAV_008"	"ITGB5_008"	"ITGAV_024"	"ITGB5_024"	"ITGAV_072"	"ITGB5_072"	"ITGAV_168"	"ITGB5_168"	"ITGAV_240"	"ITGB5_240"	"ITGAV_336"	"ITGB5_336"
"ITGAV_000"	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB5_000"	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0
"ITGAV_002"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
"ITGB5_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGAV_008"	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"ITGB5_008"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"ITGAV_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB5_024"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
"ITGAV_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB5_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGAV_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB5_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGAV_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB5_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGAV_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB5_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
