"ITGB1_000"	"ITGA6_000"	"ITGB1_002"	"ITGA6_002"	"ITGB1_008"	"ITGA6_008"	"ITGB1_024"	"ITGA6_024"	"ITGB1_072"	"ITGA6_072"	"ITGB1_168"	"ITGA6_168"	"ITGB1_240"	"ITGA6_240"	"ITGB1_336"	"ITGA6_336"
"ITGB1_000"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
"ITGA6_000"	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0
"ITGB1_002"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ITGA6_002"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
"ITGB1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA6_008"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"ITGB1_024"	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"ITGA6_024"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"ITGB1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA6_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA6_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA6_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA6_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
