"ITGB1_000"	"ITGAV_000"	"ITGB1_002"	"ITGAV_002"	"ITGB1_008"	"ITGAV_008"	"ITGB1_024"	"ITGAV_024"	"ITGB1_072"	"ITGAV_072"	"ITGB1_168"	"ITGAV_168"	"ITGB1_240"	"ITGAV_240"	"ITGB1_336"	"ITGAV_336"
"ITGB1_000"	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1
"ITGAV_000"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_002"	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0
"ITGAV_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_008"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
"ITGAV_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGAV_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGAV_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGAV_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ITGB1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGAV_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGAV_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
