"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"ORC5L"	"11.8"	"5.82"	"23.59"	"2.64"	"10.84"	"8"	"0.93"	"12.49"
"ORC5"	"11.8"	"5.82"	"23.59"	"2.64"	"10.84"	"8"	"0.93"	"12.49"
"ORC4"	"0"	"0.0133333333333333"	"1.48"	"0"	"0.2"	"0"	"0.266666666666667"	"2.50666666666667"
"ORC1"	"2.97666666666667"	"0"	"0.0166666666666667"	"0.01"	"0"	"0"	"0.00666666666666667"	"0"
"ORC2L"	"3.97333333333333"	"0"	"0.173333333333333"	"0.0933333333333333"	"5.54666666666667"	"3.65333333333333"	"1.22666666666667"	"0.133333333333333"
"ORC2"	"3.97333333333333"	"0"	"0.173333333333333"	"0.0933333333333333"	"5.54666666666667"	"3.65333333333333"	"1.22666666666667"	"0.133333333333333"
"ORC3"	"4.96"	"18.12"	"0.746666666666667"	"0.626666666666667"	"0"	"0.72"	"3.01333333333333"	"4.11333333333333"
"ORC6L"	"0.733333333333333"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"ORC6"	"0.733333333333333"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"CPX-1880"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
