"CDK4_000"	"CCND1_000"	"CDK4_002"	"CCND1_002"	"CDK4_008"	"CCND1_008"	"CDK4_024"	"CCND1_024"	"CDK4_072"	"CCND1_072"	"CDK4_168"	"CCND1_168"	"CDK4_240"	"CCND1_240"	"CDK4_336"	"CCND1_336"
"CDK4_000"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
"CCND1_000"	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1
"CDK4_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK4_008"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"CCND1_008"	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
"CDK4_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK4_072"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
"CCND1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK4_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK4_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK4_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
