"CCND1_000"	"CDK6_000"	"CCND1_002"	"CDK6_002"	"CCND1_008"	"CDK6_008"	"CCND1_024"	"CDK6_024"	"CCND1_072"	"CDK6_072"	"CCND1_168"	"CDK6_168"	"CCND1_240"	"CDK6_240"	"CCND1_336"	"CDK6_336"
"CCND1_000"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
"CDK6_000"	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"CCND1_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK6_002"	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0
"CCND1_008"	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
"CDK6_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK6_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK6_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK6_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"CDK6_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CCND1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDK6_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
