"CAPNS1_000"	"CAPN2_000"	"CAPNS1_002"	"CAPN2_002"	"CAPNS1_008"	"CAPN2_008"	"CAPNS1_024"	"CAPN2_024"	"CAPNS1_072"	"CAPN2_072"	"CAPNS1_168"	"CAPN2_168"	"CAPNS1_240"	"CAPN2_240"	"CAPNS1_336"	"CAPN2_336"
"CAPNS1_000"	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0
"CAPN2_000"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_002"	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0
"CAPN2_002"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"CAPNS1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN2_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_024"	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
"CAPN2_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN2_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN2_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN2_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN2_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
