"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"MED19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"CRSP9"	"23.37"	"18.58"	"25.03"	"0.06"	"19.56"	"0.67"	"15.82"	"14.85"
"MED7"	"23.37"	"18.58"	"25.03"	"0.06"	"19.56"	"0.67"	"15.82"	"14.85"
"MED14"	"12.92"	"9.68"	"13.43"	"16.83"	"11.37"	"5.26"	"3.72"	"3.35"
"MED24"	"50.0933333333333"	"0"	"0"	"1.19"	"0"	"0"	"0"	"7.25333333333333"
"MED6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.54"
"MED26"	"0"	"37.5333333333333"	"12.1833333333333"	"0"	"0"	"0"	"5.76666666666667"	"0"
"SURB7"	"2.34666666666667"	"0"	"0"	"4.94666666666667"	"11.2133333333333"	"0"	"2.32"	"2.25333333333333"
"MED21"	"2.34666666666667"	"0"	"0"	"4.94666666666667"	"11.2133333333333"	"0"	"2.32"	"2.25333333333333"
"SURF5"	"4.2"	"5.7"	"11.8"	"2.32"	"145.76"	"0"	"50.92"	"64.84"
"MED22"	"4.2"	"5.7"	"11.8"	"2.32"	"145.76"	"0"	"50.92"	"64.84"
"MED1"	"4.32"	"4.6"	"0.2"	"0"	"0"	"0"	"0.27"	"0"
"MED27"	"0"	"123.44"	"36.8266666666667"	"41.24"	"0"	"0.293333333333333"	"0.04"	"0"
"CRSP8"	"0"	"123.44"	"36.8266666666667"	"41.24"	"0"	"0.293333333333333"	"0.04"	"0"
"MED25"	"0"	"0"	"0"	"5.17"	"0"	"0"	"0"	"14.69"
"MED8"	"0.37"	"0.303333333333333"	"10.4566666666667"	"7.65333333333333"	"7.67333333333333"	"9.4"	"2.48666666666667"	"0.0333333333333333"
"MED30"	"0"	"0"	"0"	"0.196666666666667"	"0"	"0"	"0"	"0"
"MED15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"MED10"	"0.466666666666667"	"4.81333333333333"	"0"	"0.956666666666667"	"1.85"	"0.15"	"1.57"	"0"
"MED18"	"3.92666666666667"	"0"	"0"	"0"	"0.01"	"0"	"0.95"	"0"
"MED28"	"2.55333333333333"	"1.39333333333333"	"0.806666666666667"	"2.10666666666667"	"4.64666666666667"	"2.28666666666667"	"0.466666666666667"	"3.66"
"MED20"	"0.373333333333333"	"69.5733333333333"	"15.2533333333333"	"0.08"	"0.0533333333333333"	"4.14666666666667"	"0"	"4.16"
"MED4"	"0"	"0"	"0.04"	"0.12"	"0.1"	"0.07"	"0"	"0.74"
"MED17"	"0.0933333333333333"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"MED9"	"16.56"	"27.04"	"5.53333333333333"	"25.9333333333333"	"15.5333333333333"	"10.4666666666667"	"5.83333333333333"	"16.1"
"MED29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"MED11"	"142.46"	"92.09"	"108.42"	"41.99"	"127.47"	"56.43"	"92.16"	"27.74"
"MED23"	"0.966666666666667"	"0.833333333333333"	"0"	"0"	"1.14"	"0"	"0"	"0.973333333333333"
"MED16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"MED31"	"0.27"	"5.21"	"9.7"	"0"	"2.52"	"0"	"0"	"1.85"
"CPX-3227"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
