"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"CHMP2A"	"23.4266666666667"	"41.3733333333333"	"173.653333333333"	"266.906666666667"	"117.64"	"186.866666666667"	"115.64"	"163.306666666667"
"CHMP1B"	"9.69"	"4.79333333333333"	"8.14666666666667"	"8.16666666666667"	"7.32"	"10.3966666666667"	"5.2"	"6.11333333333333"
"CHMP7"	"0.0533333333333333"	"2.90666666666667"	"1.12"	"0"	"0"	"0"	"0.08"	"0"
"CHMP4C"	"3.05666666666667"	"6.99333333333333"	"5.27"	"5.99666666666667"	"5.48333333333333"	"0.973333333333333"	"2.62333333333333"	"0.546666666666667"
"CHMP6"	"72.64"	"32.48"	"67.6"	"0.0266666666666667"	"14.4666666666667"	"71.0666666666667"	"40.5733333333333"	"25.1333333333333"
"CHMP4A"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"CHMP4B"	"10.13"	"37.5533333333333"	"26.4333333333333"	"8.36666666666667"	"7.29"	"10.4966666666667"	"15.48"	"13.8766666666667"
"CHMP1A"	"18.68"	"0"	"0"	"0"	"0"	"24.1866666666667"	"67.5466666666667"	"28.4266666666667"
"CHMP5"	"10.6866666666667"	"18.2766666666667"	"7.32333333333333"	"9.66666666666667"	"17.1666666666667"	"2.90666666666667"	"2.33666666666667"	"10.4666666666667"
"CHMP2B"	"0.0266666666666667"	"0"	"10.4133333333333"	"0"	"3.17333333333333"	"1.66666666666667"	"0"	"3.45333333333333"
"CHMP3"	"10.4966666666667"	"12.03"	"20.0533333333333"	"9.14666666666667"	"11.42"	"16.18"	"18.1033333333333"	"5.28666666666667"
"CPX-329"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
