"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"SAP30"	"11.72"	"0"	"10.7466666666667"	"5.39"	"6.95666666666667"	"0.0133333333333333"	"0"	"0.196666666666667"
"ARID4A"	"2.08"	"0.96"	"0"	"7.01333333333333"	"1.92"	"1.04"	"0.0533333333333333"	"0.186666666666667"
"RBBP4"	"19.2266666666667"	"1.30666666666667"	"30.2133333333333"	"0.773333333333333"	"7.09333333333333"	"5.86666666666667"	"14.1866666666667"	"5.44"
"HDAC1"	"12.15"	"30.31"	"28.47"	"12.37"	"59.31"	"20.91"	"41.52"	"25.92"
"SF3B3"	"9.4"	"30.44"	"25.24"	"16.24"	"17.44"	"5.94"	"5.56"	"18.32"
"RBBP7"	"38.6666666666667"	"0"	"104.4"	"0.666666666666667"	"12.08"	"0.373333333333333"	"0"	"0"
"ARID4B"	"0"	"0"	"0.753333333333333"	"0"	"0"	"0.353333333333333"	"0"	"0.0333333333333333"
"BRMS1L"	"2.08666666666667"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"HDAC2"	"0"	"0"	"0.133333333333333"	"0"	"0"	"0"	"0.0333333333333333"	"0"
"SIN3A"	"39.68"	"117.2"	"52.5066666666667"	"48.24"	"52.32"	"25.8133333333333"	"28.88"	"16.5066666666667"
"ING2"	"0"	"0"	"0"	"0"	"0.02"	"0"	"0"	"0"
"SUDS3"	"1.35666666666667"	"1.74"	"5.74"	"1.16333333333333"	"0.9"	"0.573333333333333"	"0.0666666666666667"	"2.10333333333333"
"SAP30L"	"0.713333333333333"	"2.23666666666667"	"1.04666666666667"	"0.92"	"0.45"	"0.666666666666667"	"0"	"0.293333333333333"
"BRMS1"	"0"	"0"	"0"	"0"	"0"	"0"	"3.25333333333333"	"0"
"ING1"	"0.633333333333333"	"0"	"0.24"	"0.00666666666666667"	"0"	"0"	"0.02"	"0"
"CPX-3321"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
