"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"ACTL6B"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"SMARCA2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"PS1TP5BP1"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"ACTB"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"SS18"	"15.3566666666667"	"33.8866666666667"	"6.85666666666667"	"23.5166666666667"	"0.113333333333333"	"92.31"	"23.7433333333333"	"25.5566666666667"
"BCL7A"	"0.35"	"0"	"6.64"	"4.05"	"1.61666666666667"	"2.18333333333333"	"0.133333333333333"	"0.0766666666666667"
"BCL7C"	"84.1533333333333"	"45.5066666666667"	"20.6066666666667"	"17.5"	"12.9666666666667"	"19.06"	"38.4133333333333"	"14.9333333333333"
"SMARCC1"	"1.26"	"0.0466666666666667"	"0"	"0"	"0.04"	"0.00666666666666667"	"0.746666666666667"	"0.0133333333333333"
"SMARCD1"	"4.25"	"0"	"0.05"	"0"	"0"	"0"	"6.26666666666667"	"0"
"BCL7B"	"40.2133333333333"	"74.5333333333333"	"85.0533333333333"	"6.72"	"0"	"0"	"0"	"2.74666666666667"
"BRD9"	"0"	"14.3466666666667"	"0"	"0"	"4.94666666666667"	"0.0666666666666667"	"0"	"0"
"BICRA"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"CPX-4223"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
