"CAPNS1_000"	"CAPN1_000"	"CAPNS1_002"	"CAPN1_002"	"CAPNS1_008"	"CAPN1_008"	"CAPNS1_024"	"CAPN1_024"	"CAPNS1_072"	"CAPN1_072"	"CAPNS1_168"	"CAPN1_168"	"CAPNS1_240"	"CAPN1_240"	"CAPNS1_336"	"CAPN1_336"
"CAPNS1_000"	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1
"CAPN1_000"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
"CAPNS1_002"	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"CAPN1_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_024"	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
"CAPN1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"CAPNS1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPNS1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPN1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
