"FRAT2_000"	"GSK3B_000"	"FRAT2_002"	"GSK3B_002"	"FRAT2_008"	"GSK3B_008"	"FRAT2_024"	"GSK3B_024"	"FRAT2_072"	"GSK3B_072"	"FRAT2_168"	"GSK3B_168"	"FRAT2_240"	"GSK3B_240"	"FRAT2_336"	"GSK3B_336"
"FRAT2_000"	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
"GSK3B_000"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FRAT2_002"	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0
"GSK3B_002"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"FRAT2_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GSK3B_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FRAT2_024"	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
"GSK3B_024"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"FRAT2_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GSK3B_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FRAT2_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GSK3B_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FRAT2_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GSK3B_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FRAT2_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GSK3B_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
