"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"TRAPPC3"	"0.293333333333333"	"38.5066666666667"	"0.64"	"0"	"0"	"5.36"	"3.97333333333333"	"118.866666666667"
"TRAPPC6A"	"32.4533333333333"	"0"	"0"	"0"	"0"	"0"	"0"	"39.0733333333333"
"ZNF547"	"3.32"	"0.0133333333333333"	"6"	"0.0666666666666667"	"4.86666666666667"	"2.25333333333333"	"7.33333333333333"	"4.42666666666667"
"TRAPPC2"	"3.32"	"0.0133333333333333"	"6"	"0.0666666666666667"	"4.86666666666667"	"2.25333333333333"	"7.33333333333333"	"4.42666666666667"
"TRAPPC11"	"1.17"	"0.91"	"0"	"0"	"0"	"0"	"0.11"	"0"
"TRAPPC5"	"100.96"	"0.16"	"2.06666666666667"	"27.04"	"140.386666666667"	"83.8333333333333"	"72.52"	"7.22666666666667"
"TRAPPC12"	"12.2933333333333"	"18.4"	"37.0133333333333"	"0"	"28.96"	"72.7466666666667"	"36.48"	"8.48"
"TRAPPC2L"	"28.2"	"0"	"0.06"	"0.12"	"62.67"	"0.84"	"14.67"	"85.71"
"TRAPPC4"	"21.21"	"31.1033333333333"	"0"	"0"	"0"	"34.37"	"0"	"15.0733333333333"
"TRAPPC8"	"3.4"	"0"	"4.42"	"0.68"	"9.38"	"4.04"	"0.04"	"2.4"
"TRAPPC1"	"132.253333333333"	"418.693333333333"	"236.253333333333"	"513.346666666667"	"203.546666666667"	"75.2266666666667"	"309.026666666667"	"42.2666666666667"
"CPX-4750"	"0.293333333333333"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
