"VTN_000"	"SERPINE1_000"	"VTN_002"	"SERPINE1_002"	"VTN_008"	"SERPINE1_008"	"VTN_024"	"SERPINE1_024"	"VTN_072"	"SERPINE1_072"	"VTN_168"	"SERPINE1_168"	"VTN_240"	"SERPINE1_240"	"VTN_336"	"SERPINE1_336"
"VTN_000"	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0
"SERPINE1_000"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"VTN_002"	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
"SERPINE1_002"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"VTN_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SERPINE1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"VTN_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SERPINE1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VTN_072"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
"SERPINE1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VTN_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SERPINE1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VTN_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SERPINE1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VTN_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SERPINE1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
