"OSBP_000"	"VAPA_000"	"OSBP_002"	"VAPA_002"	"OSBP_008"	"VAPA_008"	"OSBP_024"	"VAPA_024"	"OSBP_072"	"VAPA_072"	"OSBP_168"	"VAPA_168"	"OSBP_240"	"VAPA_240"	"OSBP_336"	"VAPA_336"
"OSBP_000"	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
"VAPA_000"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"OSBP_002"	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
"VAPA_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OSBP_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VAPA_008"	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0
"OSBP_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VAPA_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OSBP_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VAPA_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OSBP_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VAPA_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OSBP_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VAPA_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OSBP_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VAPA_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
