"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"TTC26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"IFT88"	"4.49333333333333"	"0.553333333333333"	"0.286666666666667"	"0.373333333333333"	"2.67333333333333"	"3.87333333333333"	"0.00666666666666667"	"9.42666666666667"
"IFT20"	"0"	"0"	"4.24666666666667"	"0"	"3.64"	"116.363333333333"	"0.163333333333333"	"0"
"TTC30B"	"0.393333333333333"	"0.0866666666666667"	"1.19333333333333"	"0"	"0"	"1.71"	"1.06333333333333"	"1.37333333333333"
"TRAF3IP1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"IFT81"	"0"	"0"	"0"	"5.52"	"0"	"0"	"0"	"0"
"CLUAP1"	"0"	"0"	"5.85"	"0"	"0"	"0.69"	"0"	"1.02"
"IFT74"	"0"	"0"	"2.74"	"2.8"	"0"	"0.04"	"0"	"7.98"
"IFT27"	"0.146666666666667"	"4.30666666666667"	"0"	"11.88"	"0"	"1.92"	"0"	"0"
"IFT22"	"0"	"0"	"0"	"0.133333333333333"	"6.37333333333333"	"0"	"26.9066666666667"	"0"
"RABL5"	"0"	"0"	"0"	"0.133333333333333"	"6.37333333333333"	"0"	"26.9066666666667"	"0"
"IFT46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"C11orf60"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"IFT57"	"0.04"	"20.54"	"7.51"	"0.02"	"0"	"0"	"4.08"	"5.92"
"IFT80"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"IFT172"	"0"	"3.74666666666667"	"0.0133333333333333"	"3.53333333333333"	"3.45333333333333"	"1.86666666666667"	"0"	"1.76"
"IFT52"	"0.223333333333333"	"0.156666666666667"	"0"	"0"	"1.41"	"0"	"0.663333333333333"	"2.35"
"HSPB11"	"0"	"0"	"0.253333333333333"	"0"	"0"	"0"	"0.146666666666667"	"6.44"
"CPX-5022"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
