"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"SNAPIN"	"23.5233333333333"	"61.7866666666667"	"0"	"32.9333333333333"	"51.15"	"0.09"	"44.4366666666667"	"2.58333333333333"
"BLOC1S1"	"315.36"	"185.626666666667"	"336.72"	"449.346666666667"	"401.906666666667"	"73.3333333333333"	"333.426666666667"	"310.68"
"BLOC1S2"	"6.66666666666667"	"37.88"	"28.6666666666667"	"7.86666666666667"	"6.34666666666667"	"24.8933333333333"	"4.34666666666667"	"24.8666666666667"
"BORCS5"	"5.42666666666667"	"0.966666666666667"	"0.92"	"1.30666666666667"	"6.62666666666667"	"1.4"	"1.9"	"0.486666666666667"
"BORCS7"	"2.94"	"2.93"	"2.85"	"5.26666666666667"	"6.93666666666667"	"2.96333333333333"	"1.11333333333333"	"5.62333333333333"
"BORCS8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"BORCS6"	"0.486666666666667"	"6.22"	"0"	"0.00666666666666667"	"2.28666666666667"	"4.62"	"0.32"	"3.94333333333333"
"KXD1"	"1212.72"	"628.506666666667"	"612.933333333333"	"241.12"	"273.173333333333"	"359.733333333333"	"756.24"	"588.08"
"MGC2749"	"1212.72"	"628.506666666667"	"612.933333333333"	"241.12"	"273.173333333333"	"359.733333333333"	"756.24"	"588.08"
"CPX-5029"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
