"SMAD4_000"	"SMAD1_000"	"SMAD4_002"	"SMAD1_002"	"SMAD4_008"	"SMAD1_008"	"SMAD4_024"	"SMAD1_024"	"SMAD4_072"	"SMAD1_072"	"SMAD4_168"	"SMAD1_168"	"SMAD4_240"	"SMAD1_240"	"SMAD4_336"	"SMAD1_336"
"SMAD4_000"	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	0
"SMAD1_000"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"SMAD4_002"	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
"SMAD1_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD4_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD1_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD4_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"SMAD1_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD4_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD1_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD4_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD1_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD4_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD1_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD4_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMAD1_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
