"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"NDC80"	"5.15"	"0"	"0"	"0.0333333333333333"	"0"	"0"	"0"	"0"
"KNTC2"	"5.15"	"0"	"0"	"0.0333333333333333"	"0"	"0"	"0"	"0"
"ZWINT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"PMF1"	"10.5933333333333"	"37.9866666666667"	"0"	"33.9933333333333"	"0.34"	"0"	"0"	"49.7733333333333"
"SPC24"	"0.0533333333333333"	"0"	"2.32"	"7.08"	"0"	"0.0266666666666667"	"6.72"	"0"
"KNL1"	"2.15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"C1orf48"	"10.52"	"30.6666666666667"	"30"	"6.36"	"21.2133333333333"	"8.86666666666667"	"6.97333333333333"	"14.32"
"NSL1"	"10.52"	"30.6666666666667"	"30"	"6.36"	"21.2133333333333"	"8.86666666666667"	"6.97333333333333"	"14.32"
"NUF2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8.74"
"MIS12"	"2.01"	"0"	"0.04"	"10.25"	"1.38"	"8.27"	"6.49"	"1.76"
"DSN1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"SPC25"	"0.14"	"5.22"	"9.84666666666667"	"0.0133333333333333"	"1.57333333333333"	"0.02"	"0"	"0.0266666666666667"
"CPX-5645"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
