"KRT18_000"	"KRT8_000"	"KRT18_002"	"KRT8_002"	"KRT18_008"	"KRT8_008"	"KRT18_024"	"KRT8_024"	"KRT18_072"	"KRT8_072"	"KRT18_168"	"KRT8_168"	"KRT18_240"	"KRT8_240"	"KRT18_336"	"KRT8_336"
"KRT18_000"	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1
"KRT8_000"	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
"KRT18_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT8_002"	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
"KRT18_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT8_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT18_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"KRT8_024"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"KRT18_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT8_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT18_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT8_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT18_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT8_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT18_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT8_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
