"PHB_000"	"PHB2_000"	"PHB_002"	"PHB2_002"	"PHB_008"	"PHB2_008"	"PHB_024"	"PHB2_024"	"PHB_072"	"PHB2_072"	"PHB_168"	"PHB2_168"	"PHB_240"	"PHB2_240"	"PHB_336"	"PHB2_336"
"PHB_000"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
"PHB2_000"	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"PHB_002"	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
"PHB2_002"	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
"PHB_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PHB2_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PHB_024"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"PHB2_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PHB_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PHB2_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PHB_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PHB2_168"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
"PHB_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PHB2_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PHB_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PHB2_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
