"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"EMC2"	"0.0733333333333333"	"0"	"0"	"0"	"1.14"	"0"	"0.0266666666666667"	"1.78"
"EMC4"	"181.733333333333"	"7.3"	"35.4333333333333"	"34.9"	"71.5666666666667"	"3.46666666666667"	"8.3"	"150.166666666667"
"TMEM85"	"181.733333333333"	"7.3"	"35.4333333333333"	"34.9"	"71.5666666666667"	"3.46666666666667"	"8.3"	"150.166666666667"
"EMC10"	"27.3833333333333"	"21.5666666666667"	"3.1"	"12.9833333333333"	"4.81666666666667"	"5.76666666666667"	"8.43333333333333"	"5.98333333333333"
"MMGT1"	"3.75333333333333"	"1.17666666666667"	"2.08"	"2.29666666666667"	"2.24"	"1.17"	"2.47"	"3.71333333333333"
"EMC1"	"1.51"	"0"	"0"	"0"	"0"	"0.03"	"0.04"	"0"
"EMC6"	"8.82"	"2.55"	"30.9033333333333"	"13.42"	"5.96666666666667"	"2.83666666666667"	"15.8566666666667"	"0"
"EMC7"	"3.12"	"0.246666666666667"	"0.153333333333333"	"0.133333333333333"	"8.38666666666667"	"7.92"	"10.2"	"6.06666666666667"
"EMC3"	"20.57"	"23.14"	"26.91"	"10.92"	"41.91"	"21.85"	"11.43"	"38.13"
"EMC9"	"0"	"12.83"	"6.63"	"0"	"25.8"	"0"	"0"	"14.2"
"CPX-5881"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
