"DDIT3_000"	"CEBPA_000"	"DDIT3_002"	"CEBPA_002"	"DDIT3_008"	"CEBPA_008"	"DDIT3_024"	"CEBPA_024"	"DDIT3_072"	"CEBPA_072"	"DDIT3_168"	"CEBPA_168"	"DDIT3_240"	"CEBPA_240"	"DDIT3_336"	"CEBPA_336"
"DDIT3_000"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
"CEBPA_000"	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
"DDIT3_002"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"CEBPA_002"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"DDIT3_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPA_008"	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
"DDIT3_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPA_024"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"DDIT3_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPA_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDIT3_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPA_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDIT3_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPA_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDIT3_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPA_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
