"CEBPB_000"	"DDIT3_000"	"CEBPB_002"	"DDIT3_002"	"CEBPB_008"	"DDIT3_008"	"CEBPB_024"	"DDIT3_024"	"CEBPB_072"	"DDIT3_072"	"CEBPB_168"	"DDIT3_168"	"CEBPB_240"	"DDIT3_240"	"CEBPB_336"	"DDIT3_336"
"CEBPB_000"	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
"DDIT3_000"	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1
"CEBPB_002"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"DDIT3_002"	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"CEBPB_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDIT3_008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPB_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDIT3_024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPB_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDIT3_072"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPB_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDIT3_168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPB_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDIT3_240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CEBPB_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DDIT3_336"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
