"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"MTA2"	"0"	"0.113333333333333"	"0.366666666666667"	"1.61333333333333"	"0.0266666666666667"	"0"	"2.16666666666667"	"0"
"RBBP4"	"19.2266666666667"	"1.30666666666667"	"30.2133333333333"	"0.773333333333333"	"7.09333333333333"	"5.86666666666667"	"14.1866666666667"	"5.44"
"CHD3"	"3.01"	"0"	"0"	"0"	"0"	"0"	"0.0233333333333333"	"5.15666666666667"
"MTA1"	"0"	"0"	"0"	"0"	"0"	"0"	"28.4933333333333"	"14.2"
"HDAC1"	"12.15"	"30.31"	"28.47"	"12.37"	"59.31"	"20.91"	"41.52"	"25.92"
"CHD4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"RBBP7"	"38.6666666666667"	"0"	"104.4"	"0.666666666666667"	"12.08"	"0.373333333333333"	"0"	"0"
"GATAD2A"	"204.27"	"56.3566666666667"	"34.3933333333333"	"63.8733333333333"	"127.16"	"28.4166666666667"	"77.11"	"30.03"
"GATAD2B"	"17.85"	"0.05"	"8.95"	"0.166666666666667"	"2.73333333333333"	"2.43333333333333"	"3.21666666666667"	"23.8333333333333"
"HDAC2"	"0"	"0"	"0.133333333333333"	"0"	"0"	"0"	"0.0333333333333333"	"0"
"MTA3"	"5.02"	"0.9"	"0"	"0.1"	"0"	"0"	"0.16"	"0.1"
"MBD2"	"21.6"	"47.5466666666667"	"42.4533333333333"	"12.7733333333333"	"25.56"	"17.9066666666667"	"23.5733333333333"	"15.9466666666667"
"CPX-880"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
