"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"ZNHIT1"	"420.22"	"339.04"	"240.42"	"274.04"	"332.85"	"321.783333333333"	"342.07"	"319.906666666667"
"YEATS4"	"0"	"0"	"0"	"0"	"1.52"	"12.6"	"0"	"0"
"ACTL6A"	"4.14666666666667"	"0"	"0"	"0"	"0"	"1.31333333333333"	"0"	"0.533333333333333"
"VPS72"	"27.1933333333333"	"0"	"40.7333333333333"	"39.1866666666667"	"30.0066666666667"	"0.166666666666667"	"24.0466666666667"	"5.63333333333333"
"SRCAP"	"0.97"	"5.62"	"0"	"1.97"	"8.3"	"0"	"2.67"	"0.35"
"ACTR6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"DMAP1"	"3.98"	"0.18"	"54.64"	"72.36"	"69.36"	"14.08"	"28.28"	"12.04"
"RUVBL2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5.52"
"RUVBL1"	"6.68"	"23.96"	"15.84"	"19.36"	"12.7733333333333"	"0"	"5.02666666666667"	"22.6266666666667"
"CPX-974"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
