"Subunits/complex"	"000h"	"002h"	"008h"	"024h"	"072h"	"168h"	"240h"	"336h"
"YEATS4"	"0"	"0"	"0"	"0"	"1.52"	"12.6"	"0"	"0"
"ACTL6A"	"4.14666666666667"	"0"	"0"	"0"	"0"	"1.31333333333333"	"0"	"0.533333333333333"
"ACTB"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"PS1TP5BP1"	"22745.9733333333"	"19833.5466666667"	"17442.48"	"18263.7333333333"	"12038.3466666667"	"8001.44"	"11711.0933333333"	"11726.56"
"MBTD1"	"0.00666666666666667"	"5.78"	"0.00666666666666667"	"0.00666666666666667"	"0.853333333333333"	"0.0133333333333333"	"0.02"	"0"
"MORF4L2"	"288.946666666667"	"202.76"	"353.44"	"246.346666666667"	"209.173333333333"	"177.826666666667"	"204.32"	"211.266666666667"
"VPS72"	"27.1933333333333"	"0"	"40.7333333333333"	"39.1866666666667"	"30.0066666666667"	"0.166666666666667"	"24.0466666666667"	"5.63333333333333"
"EPC2"	"10.0166666666667"	"75.85"	"21.8166666666667"	"29.75"	"13.5166666666667"	"7.63333333333333"	"9.13333333333333"	"21.7166666666667"
"KAT5"	"0"	"1.02666666666667"	"0"	"0"	"0"	"0"	"0"	"0"
"HTATIP"	"0"	"1.02666666666667"	"0"	"0"	"0"	"0"	"0"	"0"
"EP400"	"0.933333333333333"	"2.45333333333333"	"1.69333333333333"	"2.24"	"0.873333333333333"	"3.51333333333333"	"2.30666666666667"	"1.34666666666667"
"BRD8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"EPC1"	"0.266666666666667"	"0"	"0.04"	"0"	"0"	"0"	"0"	"0"
"MEAF6"	"4.40666666666667"	"0"	"10.3533333333333"	"0"	"0"	"5.48666666666667"	"1.34"	"0"
"DMAP1"	"3.98"	"0.18"	"54.64"	"72.36"	"69.36"	"14.08"	"28.28"	"12.04"
"MRGBP"	"1.43666666666667"	"3.17666666666667"	"4.1"	"5.45333333333333"	"1.44"	"0.47"	"1.10666666666667"	"0.666666666666667"
"ING3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"MORF4L1"	"0"	"0"	"0"	"11.37"	"1.56"	"0"	"0"	"12.78"
"RUVBL2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5.52"
"RUVBL1"	"6.68"	"23.96"	"15.84"	"19.36"	"12.7733333333333"	"0"	"5.02666666666667"	"22.6266666666667"
"TRRAP"	"5.24"	"0"	"5.4"	"0.0533333333333333"	"1.38666666666667"	"0.24"	"0"	"5.89333333333333"
"CPX-978"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
