"Complex"	"Index"	"Subunit"	"Cor"
"CPX-1"	"2"	"SMAD4"	"0.633935329451705"
"CPX-1"	"1"	"SMAD3"	"0.944209317715781"
"CPX-1"	"3"	"SMAD2"	"1.65678493945906"
"CPX-101"	"2"	"TTN"	"0.83796986208579"
"CPX-101"	"1"	"TCAP"	"1.33459366075929"
"CPX-1012"	"2"	"CPX-1012"	"NaN"
"CPX-1014"	"2"	"CPX-1014"	"NaN"
"CPX-1019"	"2"	"CPX-1019"	"NaN"
"CPX-1027"	"3"	"CPX-1027"	"0"
"CPX-1027"	"1"	"KPNA2"	"1.81649658092773"
"CPX-1032"	"3"	"CPX-1032"	"0"
"CPX-1032"	"1"	"SNUPN"	"0.646446609406726"
"CPX-104"	"3"	"CPX-104"	"0"
"CPX-104"	"1"	"MAX"	"2"
"CPX-1055"	"2"	"KPNB1"	"0.677251387816048"
"CPX-1055"	"1"	"KPNA1"	"1.32274861218395"
"CPX-1057"	"2"	"KPNB1"	"0.510021056493888"
"CPX-1057"	"1"	"KPNA3"	"1.48997894350611"
"CPX-1060"	"1"	"KPNA4"	"0.855017585557722"
"CPX-1060"	"2"	"KPNB1"	"1.14498241444228"
"CPX-1063"	"1"	"KPNA5"	"0"
"CPX-1063"	"2"	"KPNB1"	"1.66666666666667"
"CPX-1064"	"3"	"CPX-1064"	"0"
"CPX-1064"	"1"	"KPNA6"	"1"
"CPX-1066"	"1"	"KPNA7"	"0"
"CPX-1066"	"2"	"KPNB1"	"1.31622776601684"
"CPX-107"	"4"	"GSK3A"	"0.793189522381269"
"CPX-107"	"1"	"AXIN1"	"0.856585459034869"
"CPX-107"	"2"	"APC"	"1.18516399092652"
"CPX-107"	"3"	"CSNK1A1"	"1.25574086188237"
"CPX-1072"	"1"	"PRKRA"	"0.570633871092322"
"CPX-1072"	"2"	"AGO2"	"1.14148939154982"
"CPX-1072"	"3"	"DICER1"	"1.44765622411285"
"CPX-1074"	"2"	"SF1"	"0.342818085397437"
"CPX-1074"	"1"	"U2AF2"	"1.65718191460256"
"CPX-1076"	"4"	"HNRNPD"	"0.134706135984196"
"CPX-1076"	"5"	"HNRPD"	"0.134706135984196"
"CPX-1076"	"2"	"CSDE1"	"0.420648726969073"
"CPX-1076"	"1"	"SYNCRIP"	"0.422792447368143"
"CPX-1076"	"6"	"PAIP1"	"1.15548615609489"
"CPX-1076"	"3"	"PABPC1"	"1.64588797166404"
"CPX-109"	"4"	"GSK3B"	"0.318071121861591"
"CPX-109"	"1"	"AXIN1"	"1.04291891978752"
"CPX-109"	"3"	"CSNK1A1"	"1.3168461310417"
"CPX-109"	"2"	"APC"	"1.42475599688888"
"CPX-1123"	"1"	"FOXO3"	"0.882148869802242"
"CPX-1123"	"2"	"MYC"	"1.11785113019776"
"CPX-114"	"3"	"GP9"	"0"
"CPX-114"	"4"	"GP5"	"0"
"CPX-114"	"1"	"GP1BA"	"0"
"CPX-114"	"2"	"GP1BB"	"2"
"CPX-1147"	"1"	"FOXO3"	"0"
"CPX-1147"	"2"	"YWHAZ"	"1"
"CPX-1159"	"3"	"CENPJ"	"0"
"CPX-1159"	"1"	"STIL"	"0"
"CPX-1159"	"2"	"SASS6"	"2"
"CPX-1161"	"2"	"CEP192"	"NaN"
"CPX-1161"	"3"	"CPX-1161"	"NaN"
"CPX-1163"	"6"	"CPX-1163"	"0"
"CPX-1163"	"4"	"WASHC3"	"0.87105755606534"
"CPX-1163"	"1"	"WASHC1"	"0.888826578680117"
"CPX-1163"	"2"	"WASHC5"	"1.14664059429516"
"CPX-1163"	"3"	"WASHC4"	"1.30182747334831"
"CPX-1164"	"3"	"SMARCA2"	"0"
"CPX-1164"	"13"	"CPX-1164"	"0"
"CPX-1164"	"9"	"SMARCC1"	"0.00432664261109672"
"CPX-1164"	"2"	"ACTL6A"	"0.0423258451223587"
"CPX-1164"	"1"	"ARID1A"	"0.0448996438639924"
"CPX-1164"	"4"	"ACTB"	"0.128278608148674"
"CPX-1164"	"5"	"PS1TP5BP1"	"0.128278608148674"
"CPX-1164"	"12"	"SMARCD1"	"0.137801414952326"
"CPX-1164"	"10"	"SMARCD2"	"0.664045214185138"
"CPX-1164"	"8"	"SMARCC2"	"0.830234279035386"
"CPX-1164"	"11"	"SMARCE1"	"0.911104052672878"
"CPX-1164"	"7"	"SMARCD3"	"1.74356980217736"
"CPX-117"	"3"	"GP9"	"0"
"CPX-117"	"4"	"FLNA"	"0"
"CPX-117"	"5"	"GP5"	"0"
"CPX-117"	"1"	"GP1BA"	"0"
"CPX-117"	"2"	"GP1BB"	"2"
"CPX-1172"	"4"	"WASHC2A"	"0.0468630784093045"
"CPX-1172"	"1"	"WASHC1"	"0.366342863787509"
"CPX-1172"	"5"	"WASHC3"	"1.12798264342468"
"CPX-1172"	"2"	"WASHC5"	"1.32769821832365"
"CPX-1172"	"3"	"WASHC4"	"1.70353890796112"
"CPX-1194"	"3"	"SMARCA2"	"0"
"CPX-1194"	"14"	"CPX-1194"	"0"
