Complex	Index	Subunit	zScore-dis
CPX-1	2	SMAD4	2.499627779
CPX-1	3	SMAD2	3.093740206
CPX-1	1	SMAD3	5.003611185
CPX-101	2	TTN	2.655369393
CPX-101	1	TCAP	4.471624106
CPX-1012	2	CPX-1012	NA
CPX-1014	2	CPX-1014	NA
CPX-1019	2	CPX-1019	NA
CPX-1027	3	CPX-1027	0
CPX-1027	1	KPNA2	4.898979486
CPX-1032	3	CPX-1032	0
CPX-1032	1	SNUPN	4.898979486
CPX-104	3	CPX-104	0
CPX-104	1	MAX	4.898979486
CPX-1055	1	KPNA1	3
CPX-1055	2	KPNB1	3.872983346
CPX-1057	2	KPNB1	3
CPX-1057	1	KPNA3	3.872983346
CPX-1060	1	KPNA4	3
CPX-1060	2	KPNB1	3.872983346
CPX-1063	1	KPNA5	0
CPX-1063	2	KPNB1	4.898979486
CPX-1064	3	CPX-1064	0
CPX-1064	1	KPNA6	4.898979486
CPX-1066	1	KPNA7	0
CPX-1066	2	KPNB1	4.898979486
CPX-107	4	GSK3A	0.809750099
CPX-107	1	AXIN1	3.394585393
CPX-107	3	CSNK1A1	4.65615111
CPX-107	2	APC	4.70530675
CPX-1072	2	AGO2	2.776924588
CPX-1072	1	PRKRA	3.662606185
CPX-1072	3	DICER1	4.66211574
CPX-1074	2	SF1	2.449489743
CPX-1074	1	U2AF2	4.242640687
CPX-1076	5	HNRPD	0.128649617
CPX-1076	4	HNRNPD	0.128649617
CPX-1076	1	SYNCRIP	0.353703647
CPX-1076	6	PAIP1	0.971890342
CPX-1076	3	PABPC1	3.819115273
CPX-1076	2	CSDE1	7.05310747
CPX-109	1	AXIN1	2.158579868
CPX-109	2	APC	2.711663025
CPX-109	3	CSNK1A1	3.242718373
CPX-109	4	GSK3B	6.161343373
CPX-1123	1	FOXO3	2.449489743
CPX-1123	2	MYC	4.242640687
CPX-114	3	GP9	0
CPX-114	4	GP5	0
CPX-114	1	GP1BA	0
CPX-114	2	GP1BB	6.32455532
CPX-1147	1	FOXO3	0
CPX-1147	2	YWHAZ	4.898979486
CPX-1159	3	CENPJ	0
CPX-1159	1	STIL	0
CPX-1159	2	SASS6	5.656854249
CPX-1161	2	CEP192	NA
CPX-1161	3	CPX-1161	NA
CPX-1163	5	WASHC2C	0
CPX-1163	2	WASHC5	1.113468489
CPX-1163	4	WASHC3	2.547198477
CPX-1163	1	WASHC1	2.871588066
CPX-1163	3	WASHC4	6.200480759
CPX-1164	3	SMARCA2	0
CPX-1164	13	CPX-1164	0
CPX-1164	9	SMARCC1	0.000225413
CPX-1164	2	ACTL6A	0.000665141
CPX-1164	1	ARID1A	0.000706134
CPX-1164	12	SMARCD1	0.001510731
CPX-1164	10	SMARCD2	0.006125403
CPX-1164	8	SMARCC2	0.010057016
CPX-1164	11	SMARCE1	0.018753588
CPX-1164	7	SMARCD3	0.069246459
CPX-1164	4	ACTB	7.539683291
CPX-1164	5	PS1TP5BP1	7.539683291
CPX-117	3	GP9	0
CPX-117	4	FLNA	0
CPX-117	5	GP5	0
CPX-117	1	GP1BA	0
CPX-117	2	GP1BB	6.92820323
CPX-1172	1	WASHC1	0.768595852
CPX-1172	2	WASHC5	0.799278275
CPX-1172	5	WASHC3	2.011116468
CPX-1172	3	WASHC4	3.792204826
CPX-1172	4	WASHC2A	6.504137111
CPX-1194	3	SMARCA2	0
CPX-1194	14	CPX-1194	0
CPX-1194	10	SMARCC1	0.000233092
CPX-1194	2	ACTL6A	0.000687789
CPX-1194	1	ARID1A	0.000730194
CPX-1194	13	SMARCD1	0.001562186
CPX-1194	9	DPF3	0.001841856
CPX-1194	11	SMARCD2	0.006333957
CPX-1194	8	SMARCC2	0.010399355
CPX-1194	12	SMARCE1	0.019392209
CPX-1194	7	SMARCD3	0.07160394
CPX-1194	4	ACTB	7.796458604
CPX-1194	5	PS1TP5BP1	7.796458604
CPX-1195	3	SMARCA4	0
CPX-1195	15	CPX-1195	0
CPX-1195	11	SMARCC1	0.000240475
CPX-1195	8	PHF10	0.000370903
CPX-1195	2	ACTL6A	0.000709349
CPX-1195	1	ARID1A	0.000753211
CPX-1195	7	BCL7A	0.001523305
CPX-1195	13	SMARCD1	0.001611598
CPX-1195	10	DPF2	0.010683154
CPX-1195	9	BCL7C	0.018090774
CPX-1195	14	BCL7B	0.018256477
CPX-1195	12	SMARCE1	0.020004872
CPX-1195	5	ACTB	8.041954386
CPX-1195	4	PS1TP5BP1	8.041954386
CPX-1196	2	SMARCA4	0
CPX-1196	15	CPX-1196	0
CPX-1196	5	SMARCB1	0
CPX-1196	6	ARID2	5.33E-05
CPX-1196	10	SMARCC1	0.000240419
CPX-1196	9	PHF10	0.000370766
CPX-1196	13	SMARCD1	0.001611346
CPX-1196	14	BRD7	0.003828871
CPX-1196	11	SMARCD2	0.00653359
CPX-1196	7	PBRM1	0.007831003
CPX-1196	8	SMARCC2	0.010725707
CPX-1196	12	SMARCE1	0.020003719
CPX-1196	4	PS1TP5BP1	8.040870104
CPX-1196	3	ACTB	8.040870104
CPX-1199	5	SMARCB1	0
CPX-1199	15	CPX-1199	0
CPX-1199	6	ARID2	5.33E-05
CPX-1199	10	SMARCC1	0.000240421
CPX-1199	9	PHF10	0.000370771
CPX-1199	1	ACTL6A	0.000709232
CPX-1199	13	SMARCD1	0.001611348
CPX-1199	14	BRD7	0.003828915
CPX-1199	11	SMARCD2	0.00653359
CPX-1199	7	PBRM1	0.007831019
CPX-1199	8	SMARCC2	0.010725752
